iso3_o,year,expor,import,iso3_d
GHA,1995,400827.76,123741.618,AFG
GHA,1996,617177.813,137994.181,AFG
GHA,1997,519523.434,162246.24,AFG
GHA,1998,395658.633,164660.053,AFG
GHA,1999,416842.473,138351.615,AFG
GHA,2000,608094.314,176180.68,AFG
GHA,2001,557305.509,115319.521,AFG
GHA,2002,1263112.523,115954.627,AFG
GHA,2003,1580047.381,229283.883,AFG
GHA,2004,2106393.015,219012.103,AFG
GHA,2005,3336940.839,315057.034,AFG
GHA,2006,3654533.288,280750.81,AFG
GHA,2007,4298264.549,427869.337,AFG
GHA,2008,5748237.942,622577.613,AFG
GHA,2009,7246027.116,1333811.964,AFG
GHA,2010,9005949.204,599261.125,AFG
GHA,2011,12090254.3,523968.672,AFG
GHA,2012,13178627.64,713850.579,AFG
GHA,2013,13082618.27,763587.246,AFG
GHA,2014,11461810.19,894523.869,AFG
GHA,2015,8727273.559,834502.23,AFG
GHA,2016,7616483.355,953308.853,AFG
GHA,2017,8964800.441,1004484.65,AFG
GHA,2018,9092533.332,1184357.097,AFG
GHA,2019,7874774.705,1795448.647,AFG
GHA,2020,7658939.061,1540590.174,AFG
GHA,2021,7219270.677,1713232.012,AFG
GHA,1995,54581050.91,55950523.76,AUS
GHA,1996,57161663.28,62252893.15,AUS
GHA,1997,59234241.7,65298892.16,AUS
GHA,1998,58104030.7,57958351.93,AUS
GHA,1999,61353337.79,58142633.7,AUS
GHA,2000,65972612.28,72740706.56,AUS
GHA,2001,60221153.75,69932798.8,AUS
GHA,2002,68156348.12,70635437.41,AUS
GHA,2003,81925452.02,77177926.69,AUS
GHA,2004,100313806.4,96865226.17,AUS
GHA,2005,114198592.8,117231245.2,AUS
GHA,2006,128315334.7,137291475.6,AUS
GHA,2007,151410457.1,158123115.9,AUS
GHA,2008,184109276,209973293,AUS
GHA,2009,149330678.9,172200365.8,AUS
GHA,2010,179779984.4,225925065.1,AUS
GHA,2011,222496940.2,286378582.3,AUS
GHA,2012,233334608.9,279555904.4,AUS
GHA,2013,221621260.1,275852017.9,AUS
GHA,2014,216014749.1,269597870.4,AUS
GHA,2015,193620063.1,212081927.7,AUS
GHA,2016,182702849.4,204230528.3,AUS
GHA,2017,211204434,260316474.3,AUS
GHA,2018,220597559.9,283345539.5,AUS
GHA,2019,206667568.7,299365719.8,AUS
GHA,2020,199331032.9,270436356.9,AUS
GHA,2021,249503718.2,377921461.5,AUS
GHA,1995,2981202.359,3611146.992,BEL
GHA,1996,2319512.173,3359111.74,BEL
GHA,1997,2559539.902,4100459.106,BEL
GHA,1998,2563826.603,4453046.087,BEL
GHA,1999,160100016.7,144893929.7,BEL
GHA,2000,167403986.3,149934309,BEL
GHA,2001,166852710.4,149227869.9,BEL
GHA,2002,182965366.6,160186135.7,BEL
GHA,2003,217070790.5,191065509.8,BEL
GHA,2004,268259040.3,233031297.7,BEL
GHA,2005,298926157.2,257338201.1,BEL
GHA,2006,336776187,286905922,BEL
GHA,2007,389773881.3,336727596,BEL
GHA,2008,438817000.2,366301627.2,BEL
GHA,2009,333417464.4,280726076,BEL
GHA,2010,370737743.2,307165018.2,BEL
GHA,2011,439390413.8,364182727.9,BEL
GHA,2012,412408904.2,343563620.2,BEL
GHA,2013,424666863.4,360595639.5,BEL
GHA,2014,432625248.6,365701633.8,BEL
GHA,2015,362163202,308618524.5,BEL
GHA,2016,359944446.7,305974154.4,BEL
GHA,2017,386713846.6,329125186.5,BEL
GHA,2018,425813827.4,362115319.7,BEL
GHA,2019,402220749,343826754.5,BEL
GHA,2020,373397655.8,333997182.4,BEL
GHA,2021,488439652.7,435669263.5,BEL
GHA,1995,351.72,65.57,BRA
GHA,1996,83.375,248.402,BRA
GHA,1997,71.849,785.143,BRA
GHA,1998,167.13,31.247,BRA
GHA,1999,223.639,263.803,BRA
GHA,2000,..,..,BRA
GHA,2001,..,1,BRA
GHA,2002,35,..,BRA
GHA,2003,..,..,BRA
GHA,2004,..,..,BRA
GHA,2005,..,..,BRA
GHA,2006,27825.206,4444.759,BRA
GHA,2007,21471.576,4521.082,BRA
GHA,2008,10418.053,7619.812,BRA
GHA,2009,10701.136,6503.53,BRA
GHA,2010,5619.185,4458.934,BRA
GHA,2011,233009427.8,281399251.9,BRA
GHA,2012,234151598.7,269079115.8,BRA
GHA,2013,238413260.9,256001500.3,BRA
GHA,2014,228761217.4,247440259.5,BRA
GHA,2015,166103272.1,214143260.7,BRA
GHA,2016,142162958.6,207303079.6,BRA
GHA,2017,166129647.8,241960192.2,BRA
GHA,2018,184335117.8,265805788.1,BRA
GHA,2019,185242977,253599549.8,BRA
GHA,2020,161560459.3,243456065.6,BRA
GHA,2021,227821996.2,321125624.6,BRA
GHA,1995,206418.776,268643.937,BFA
GHA,1996,124427.522,100213.435,BFA
GHA,1997,95387.255,98232.736,BFA
GHA,1998,121498.667,81601.998,BFA
GHA,1999,113546.629,72308.171,BFA
GHA,2000,122764.725,59378.827,BFA
GHA,2001,122549.888,43150.557,BFA
GHA,2002,119902.593,44420.678,BFA
GHA,2003,140643.159,67556.617,BFA
GHA,2004,197850.806,71646.634,BFA
GHA,2005,253842.318,111302.264,BFA
GHA,2006,563278.924,53476.183,BFA
GHA,2007,711170.054,43691.619,BFA
GHA,2008,884157.199,52456.491,BFA
GHA,2009,687205.918,56244.807,BFA
GHA,2010,787201.267,71350.907,BFA
GHA,2011,2252976.476,939890.044,BFA
GHA,2012,2429916.556,2261474.565,BFA
GHA,2013,2885248.651,2173686.928,BFA
GHA,2014,2867851.529,2264196.068,BFA
GHA,2015,2336205.878,1924381.03,BFA
GHA,2016,2343039.953,2189431.083,BFA
GHA,2017,2982540.441,2775613.469,BFA
GHA,2018,2986380.36,3113964.538,BFA
GHA,2019,2999705.098,3383986.179,BFA
GHA,2020,3183703.934,4527345.25,BFA
GHA,2021,3690306.168,5031840.507,BFA
GHA,1995,7073127.746,4222316.772,CIV
GHA,1996,7227035.46,4168679.904,CIV
GHA,1997,8059266.421,3946441.212,CIV
GHA,1998,7396378.207,4094817.164,CIV
GHA,1999,6391894.325,3947467.059,CIV
GHA,2000,6729651.329,3932169.308,CIV
GHA,2001,7945753.63,4221263.465,CIV
GHA,2002,9519906.36,4526250.007,CIV
GHA,2003,12422161.73,5586971.761,CIV
GHA,2004,15112522.36,7358296.663,CIV
GHA,2005,16719052.27,7866624.344,CIV
GHA,2006,6950309.745,2483002.776,CIV
GHA,2007,9373526.063,4003219.162,CIV
GHA,2008,10159484.02,3554165.392,CIV
GHA,2009,6280753.862,2519931.316,CIV
GHA,2010,7114588.661,3180356.569,CIV
GHA,2011,6852716.053,11716895.95,CIV
GHA,2012,8747655.066,11984798.06,CIV
GHA,2013,9748775.946,13089734.81,CIV
GHA,2014,10081643.34,12145380.2,CIV
GHA,2015,8972240.46,11886156.15,CIV
GHA,2016,8467655.41,11485643.19,CIV
GHA,2017,9414559.418,12345223.96,CIV
GHA,2018,10384893.31,12796143.69,CIV
GHA,2019,10403969.7,12912399.4,CIV
GHA,2020,10680275.19,12220361.29,CIV
GHA,2021,14156693.48,14705267.31,CIV
GHA,1995,716609.396,144563.665,CAN
GHA,1996,551168.917,164779.74,CAN
GHA,1997,868531.577,202343.7,CAN
GHA,1998,1118786.124,184051.336,CAN
GHA,1999,1183138.86,255571.633,CAN
GHA,2000,1215699.209,270956.314,CAN
GHA,2001,1649987.544,173290.942,CAN
GHA,2002,1093690.656,240598.742,CAN
GHA,2003,1553875.483,711563.683,CAN
GHA,2004,1844860.87,677381.943,CAN
GHA,2005,2196400.375,799688.232,CAN
GHA,2006,166848.843,125905.655,CAN
GHA,2007,198738.814,149339.139,CAN
GHA,2008,326535.131,174801.89,CAN
GHA,2009,230041.2,115129.111,CAN
GHA,2010,359572.989,140370.603,CAN
GHA,2011,436764499,462957815.7,CAN
GHA,2012,452932517.2,467462316.7,CAN
GHA,2013,456002843.2,476550543,CAN
GHA,2014,459513598.8,490982855.9,CAN
GHA,2015,413947544.4,423067131.2,CAN
GHA,2016,397545537.9,393443673.8,CAN
GHA,2017,425871675.5,430137328.3,CAN
GHA,2018,459448560.9,461488529.5,CAN
GHA,2019,454522783.1,468813171.8,CAN
GHA,2020,410745949.3,399447046.9,CAN
GHA,2021,494792156.8,518951092.3,CAN
GHA,1995,171226215.4,60892753.27,CHN
GHA,1996,168979615.1,60153234.32,CHN
GHA,1997,188797735.3,59901348.48,CHN
GHA,1998,158483442.8,57420542.8,CHN
GHA,1999,154583613.6,59548612.6,CHN
GHA,2000,185036179.4,61423393.52,CHN
GHA,2001,175590753.9,55262778.68,CHN
GHA,2002,196868534.4,59330609.15,CHN
GHA,2003,235162104.9,66334168.73,CHN
GHA,2004,280496853,73300778.59,CHN
GHA,2005,313562107.9,76323894.92,CHN
GHA,2006,5204625.678,2912368.138,CHN
GHA,2007,6438853.28,3474630.966,CHN
GHA,2008,6919726.817,2453351.773,CHN
GHA,2009,5536415.811,1201796.16,CHN
GHA,2010,6360869.269,981768.022,CHN
GHA,2011,1562512394,2279610970,CHN
GHA,2012,1602252257,2386760032,CHN
GHA,2013,1721714603,2493784018,CHN
GHA,2014,1692533156,2626434692,CHN
GHA,2015,1456206388,2572468574,CHN
GHA,2016,1426531527,2475740910,CHN
GHA,2017,1675642477,2693416841,CHN
GHA,2018,1904710496,2931639473,CHN
GHA,2019,1839411386,2844497913,CHN
GHA,2020,1840350332,2802109922,CHN
GHA,2021,2362400410,3545656880,CHN
GHA,1995,82490.48,128003.824,EGY
GHA,1996,152699.853,195063.933,EGY
GHA,1997,185768.824,395399.775,EGY
GHA,1998,264829.702,449568.613,EGY
GHA,1999,367657.607,690134.883,EGY
GHA,2000,288708.589,1257056.599,EGY
GHA,2001,314380.521,1831851.373,EGY
GHA,2002,426833.865,1930685.663,EGY
GHA,2003,1073861.305,2775531.652,EGY
GHA,2004,720668.055,4300063.294,EGY
GHA,2005,1046694.989,6673060.291,EGY
GHA,2006,322093.883,18677.957,EGY
GHA,2007,424359.755,74306.641,EGY
GHA,2008,353719.284,28535.1,EGY
GHA,2009,426903.691,29387.482,EGY
GHA,2010,540464.569,17419.004,EGY
GHA,2011,67042920.16,36894590.69,EGY
GHA,2012,72241761.64,35573685.55,EGY
GHA,2013,69059628.41,33926919.71,EGY
GHA,2014,80157775.56,32161872.92,EGY
GHA,2015,73000735.28,26569206.9,EGY
GHA,2016,70375047.63,26471581.78,EGY
GHA,2017,73726431.76,30658933.42,EGY
GHA,2018,82182777.5,33422254.21,EGY
GHA,2019,81376140.42,35642683.59,EGY
GHA,2020,75385671.4,32298622.3,EGY
GHA,2021,99328371.29,42963189.4,EGY
GHA,1995,781603.98,95352.201,DEU
GHA,1996,1102857.929,110366.035,DEU
GHA,1997,1573700.61,98451.743,DEU
GHA,1998,1155323.169,79742.405,DEU
GHA,1999,1540001.137,102200.82,DEU
GHA,2000,2054026.936,75702.858,DEU
GHA,2001,1495502.147,107603.04,DEU
GHA,2002,1654405.861,109988.73,DEU
GHA,2003,1797683.929,147915.521,DEU
GHA,2004,2767227.464,184544.099,DEU
GHA,2005,3630963.027,231789.825,DEU
GHA,2006,65361477.68,21006006.89,DEU
GHA,2007,75594356.41,23859627.59,DEU
GHA,2008,87542004.18,26454411.75,DEU
GHA,2009,69057464.98,21397798.81,DEU
GHA,2010,59980091.99,24315802.62,DEU
GHA,2011,1150843273,1405686437,DEU
GHA,2012,1089769824,1343804508,DEU
GHA,2013,1109382224,1382637941,DEU
GHA,2014,1142898609,1421094579,DEU
GHA,2015,1000586758,1270658082,DEU
GHA,2016,1009443261,1262300428,DEU
GHA,2017,1118170681,1360286220,DEU
GHA,2018,1242226833,1467672462,DEU
GHA,2019,1192541065,1399588152,DEU
GHA,2020,1139611279,1319660070,DEU
GHA,2021,1393238077,1580585439,DEU
GHA,1995,11162150.81,17746424.34,IND
GHA,1996,12752236.45,20437624.61,IND
GHA,1997,13762727.94,19734245.01,IND
GHA,1998,12594239.25,14576263.53,IND
GHA,1999,11178717.2,18616243.85,IND
GHA,2000,14395182.22,26217238.38,IND
GHA,2001,35153780.24,69110499.5,IND
GHA,2002,38670351.66,71160389.87,IND
GHA,2003,_,_,IND
GHA,2004,_,_,IND
GHA,2005,_,_,IND
GHA,2006,15469137.48,28407462.57,IND
GHA,2007,16439362.31,36665245.62,IND
GHA,2008,25597019.6,58823781.91,IND
GHA,2009,33642616.78,39835417.95,IND
GHA,2010,38149763.37,52194225.59,IND
GHA,2011,442576690.6,305457671.2,IND
GHA,2012,474658296.8,299779462.8,IND
GHA,2013,455246771.8,310691167.1,IND
GHA,2014,443688247.9,312952877.4,IND
GHA,2015,379159836.1,278054521.2,IND
GHA,2016,355928511.2,273262028.6,IND
GHA,2017,433928174.7,306001065.1,IND
GHA,2018,504800011.8,335184161.1,IND
GHA,2019,476247239.8,342245692.6,IND
GHA,2020,372187143.7,290589545.1,IND
GHA,2021,579062211.5,418046291.8,IND
GHA,1995,735204.002,274017.452,MYS
GHA,1996,768561.96,347464.872,MYS
GHA,1997,753840.689,349919.569,MYS
GHA,1998,825720.106,349452.352,MYS
GHA,1999,810343.333,314346.203,MYS
GHA,2000,957962.295,381460.868,MYS
GHA,2001,379361.901,198553.457,MYS
GHA,2002,354691.616,242909.606,MYS
GHA,2003,454260.045,210248.927,MYS
GHA,2004,675969.987,237586.296,MYS
GHA,2005,764235.573,174001.127,MYS
GHA,2006,7224198.089,4113383.683,MYS
GHA,2007,8316551.205,5297369.507,MYS
GHA,2008,12420107.6,7254163.769,MYS
GHA,2009,10935623.96,4714108.751,MYS
GHA,2010,13350516.64,5693593.473,MYS
GHA,2011,198628561.2,301246177.1,MYS
GHA,2012,213208502,296824366.4,MYS
GHA,2013,227189181.7,300743202.1,MYS
GHA,2014,225483848.3,305093821,MYS
GHA,2015,191089989.4,273399308.3,MYS
GHA,2016,176842798,262583362.1,MYS
GHA,2017,200486215.8,294392827.1,MYS
GHA,2018,220782815.4,332559822.7,MYS
GHA,2019,218769422.2,334979690.8,MYS
